25fv47	5501.845888286753	463
80bau3b	987224.1924090906	1048
adlittle	225494.9631623929	1
afiro	-464.75314285714285	0
agg	-35991767.286576524	4
agg2	-20239252.355977107	4
agg3	10312115.93508924	6
bandm	-158.62801845012072	36
beaconfd	33592.48580719985	3
blend	-30.81214984582835	1
bnl1	1977.629561522891	78
bnl2	1811.2365403585468	745
boeing1	-335.21356750712664	17
boeing2	-315.01872801520284	4
bore3d	1373.080394208493	6
brandy	1518.5098964881283	17
capri	2690.0129137681606	8
cycle	-5.226393024894102	323
czprob	2185196.698856578	151
d2q06c	122784.21081418944	2836
d6cube	315.4916666666662	1056
degen2	-1435.178	48
degen3	-987.2940000000006	594
dfl001	11266396.046671042	43681
e226	-25.86492906637055	13
etamacro	-755.7152332045935	22
fffff800	555679.5648174969	43
finnis	172791.0655956116	18
fit1d	-9146.378092420928	43
fit1p	9146.378092420933	114
fit2d	-68464.2932938321	4822
fit2p	68464.2932938319	6659
forplan	-664.2189612722026	10
ganges	-109585.73612927808	99
gfrd-pnc	6902235.999548812	29
greenbea	-72555248.12984595	1900
greenbeb	-4302260.261206586	1368
grow15	-106870941.29357532	38
grow22	-160834336.48256317	92
grow7	-47787811.81471155	11
israel	-896644.821863046	5
kb2	-1749.9001299062031	1
lotfi	-25.264706061880002	3
maros-r7	1497185.1664796427	2988
maros	-58063.743701125866	241
modszk1	320.61972906416173	83
nesm	14076036.487562705	353
perold	-9380.755278235172	279
pilot.ja	-6113.136465581341	903
pilot	-557.4897292893373	3617
pilot.we	-2720107.532845011	362
pilot4	-2581.139258883889	111
pilot87	301.71069804277323	9820
pilotnov	-4497.2761882188715	362
recipe	-266.61600000000027	0
sc105	-52.202061211707324	1
sc205	-52.20206121170686	6
sc50a	-64.57507705856449	0
sc50b	-69.99999999999994	0
scagr25	-14753433.060768532	25
scagr7	-2331389.824330985	2
scfxm1	18416.759028348944	14
scfxm2	36660.261564998815	45
scfxm3	54901.254549751466	100
scorpion	1878.1248227381068	9
scrs8	904.296953800881	38
scsd1	8.666666674333369	2
scsd6	50.50000007826239	12
scsd8	904.9999999254647	73
sctap1	1412.2500000000002	10
sctap2	1724.807142857143	129
sctap3	1424	206
seba	15711.599999999999	24
share1b	-76589.31857918568	6
share2b	-415.7322407414203	1
shell	1208825346	24
ship04l	1793324.537970356	16
ship04s	1798714.7004453908	12
ship08l	1909055.211389131	54
ship08s	1920098.210534618	31
ship12l	1470187.9193292663	100
ship12s	1489236.134406133	66
sierra	15394362.183631929	44
stair	-251.2669511929631	40
standata	1257.6995	3
standmps	1406.0175000000002	10
stocfor1	-41131.976219436234	1
stocfor2	-39024.408537882126	231
tuff	0.2921477649694337	21
vtp.base	129831.46246136139	5
wood1p	1.4429024115734097	106
woodw	1.3044763330842293	293
